평점	상호	메뉴	전화번호	주소	lat	lng
4.4	반짝반짝빛나는	단호박퓨레 타르트, 밀크티	053-954-8111	대구광역시 북구 대학로23길 12-1	35.8946784588314	128.610487146592
3.5	인도방랑기	탄두리치킨, 커리, 세트메뉴	053-956-9940	대구광역시 북구 대학로 81	35.8926307381211	128.609087257873
4.8	ZZIM	한마리, 가든샐러드	053-941-7272	대구 북구 대학로 61	35.8917088662591	128.607325039905
3.7	홍대함바그	매콤함바그, 달콤함바그, 매콤갈비, 달콤갈비	053-269-5008	대구광역시 북구 대학로23길 19-6	35.8940016626727	128.610080392585
3.0	밥하는남자	상하이누룽지, 통낙지라이스, 돈카츠샐러드	070-7584-1078	대구광역시 북구 대학로23길 25-2 	35.8935738787607	128.609550442631
3.0	포베트21	양지 쇠고기 쌀국수, 세트(월남쌈+양지or해물쌀국수2개), 반세오, 월남쌈, 카오팟 타이식볶음밥	053-939-3688	(지번) 대구시 북구 산격동 1416-49	35.8918064813229	128.607525356882
평가중	봉봉해물탕	"해물탕
, 해물찜"	053-383-8000	대구 북구 유통단지로7길 21	35.907770466325	128.605553731961
4.3	72번가	준벅, 카우보이정식, 코스모 폴리탄, 프렌치 키스	053-939-0817	(지번) 대구 북구 산격동 1393-1	35.8930297852758	128.608675274061
4.3	META PIZZA	미트디럭스피자, 쉬림프토파토 파스타, 로제, 프리마베라 피자, 쉬림프크림 파스타	053-939-6767	대구광역시 북구 대학로 103 지하1층	35.8940595330147	128.610663654294
평가중	모모야스시 참치	모듬 스시 11P, 특스시 13P, 모모야스시 11P, 참치메뉴, 광어추가회	053-381-8999	대구광역시 북구 대불로 37	35.9033967414569	128.613013704846
평가중	1905몬스터피자	오리지날치즈 피자/페퍼로니 피자/베이컨체다 피자, 콤비네이션 피자/케이준치킨 피자/불고기 피자/핫스파이시치킨 피자, 베이컨포테이토 피자/갈릭쉬림프 피자/스위트고구마 피자/직화스테이크 피자, 오리지날치킨, 간장치킨	053-944-2520	대구광역시 북구 대학로15길 6 	35.8924521713508	128.60831086209
평가중	반미리코	돼지고기/닭고기/어묵 반미, 소고기 치즈 반미, 쌀국수, 팟타이, 분보싸오	070-8278-1607	대구 북구 대학로23길 7	35.8946605386626	128.611084050105
